"customer_id","signup_date","city","acquisition_channel"
"CUST001029","11-12-2024","Bengaluru","Organic"
"CUST001047","01-12-2024","Delhi","Organic"
"CUST001049","30-12-2024","Bengaluru","Organic"
"CUST001061","13-12-2024","Kolkata","Organic"
"CUST001079","23-12-2024","Pune","Paid"
"CUST001086","06-12-2024","Bengaluru","Paid"
"CUST001114","12-12-2024","Bengaluru","Referral"
"CUST001120","17-11-2024","Bengaluru","Organic"
"CUST001122","17-12-2024","Bengaluru","Organic"
"CUST001126","20-12-2024","Bengaluru","Organic"
"CUST001128","20-12-2024","Bengaluru","Social"
"CUST001168","25-12-2024","Hyderabad","Organic"
"CUST001182","02-12-2024","Delhi","Organic"
"CUST001195","10-12-2024","Pune","Organic"
"CUST001202","31-12-2024","Hyderabad","Organic"
"CUST001228","29-12-2024","Delhi","Paid"
"CUST001235","21-12-2024","Ahmedabad","Organic"
"CUST001255","14-12-2024","Bengaluru","Organic"
"CUST001269","01-12-2024","Pune","Referral"
"CUST001270","15-12-2024","Chennai","Paid"
"CUST001271","15-12-2024","Bengaluru","Organic"
"CUST001275","09-12-2024","Bengaluru","Organic"
"CUST001279","25-12-2024","Hyderabad","Social"
"CUST001291","29-12-2024","Bengaluru","Organic"
"CUST001301","05-12-2024","Kolkata","Organic"
"CUST001303","19-12-2024","Delhi","Organic"
"CUST001305","08-11-2024","Bengaluru","Organic"
"CUST001307","07-11-2024","Delhi","Organic"
"CUST001308","28-12-2024","Bengaluru","Organic"
"CUST001340","16-12-2024","Delhi","Organic"
"CUST001341","22-11-2024","Bengaluru","Paid"
"CUST001359","23-12-2024","Delhi","Referral"
"CUST001360","22-12-2024","Delhi","Paid"
"CUST001379","02-12-2024","Pune","Organic"
"CUST001388","28-11-2024","Chennai","Referral"
"CUST001389","22-11-2024","Kolkata","Organic"
"CUST001390","12-12-2024","Bengaluru","Referral"
"CUST001397","30-11-2024","Pune","Social"
"CUST001401","31-12-2024","Bengaluru","Social"
"CUST001410","31-12-2024","Ahmedabad","Organic"
"CUST001417","15-12-2024","Hyderabad","Referral"
"CUST001418","28-12-2024","Mumbai","Organic"
"CUST001419","15-12-2024","Pune","Paid"
"CUST001436","03-12-2024","Bengaluru","Organic"
"CUST001439","21-12-2024","Mumbai","Social"
"CUST001441","13-12-2024","Bengaluru","Organic"
"CUST001460","26-12-2024","Hyderabad","Paid"
"CUST001479","05-12-2024","Bengaluru","Paid"
"CUST001507","22-12-2024","Mumbai","Organic"
"CUST001512","24-11-2024","Bengaluru","Referral"
"CUST001531","01-12-2024","Bengaluru","Social"
"CUST001539","30-11-2024","Delhi","Organic"
"CUST001544","10-12-2024","Bengaluru","Organic"
"CUST001550","22-12-2024","Kolkata","Organic"
"CUST001555","27-12-2024","Delhi","Organic"
"CUST001560","20-12-2024","Bengaluru","Organic"
"CUST001577","16-12-2024","Hyderabad","Organic"
"CUST001604","25-12-2024","Mumbai","Organic"
"CUST001607","03-12-2024","Hyderabad","Organic"
"CUST001613","28-11-2024","Kolkata","Referral"
"CUST001621","17-12-2024","Bengaluru","Organic"
"CUST001635","06-12-2024","Bengaluru","Social"
"CUST001640","22-11-2024","Ahmedabad","Paid"
"CUST001642","05-12-2024","Bengaluru","Referral"
"CUST001643","09-12-2024","Ahmedabad","Organic"
"CUST001650","24-12-2024","Delhi","Organic"
"CUST001660","22-12-2024","Delhi","Organic"
"CUST001669","28-12-2024","Bengaluru","Organic"
"CUST001681","26-12-2024","Delhi","Paid"
"CUST001690","30-12-2024","Pune","Organic"
"CUST001703","24-11-2024","Ahmedabad","Paid"
"CUST001713","02-12-2024","Chennai","Referral"
"CUST001736","04-12-2024","Pune","Paid"
"CUST001738","19-12-2024","Bengaluru","Paid"
"CUST001747","23-11-2024","Bengaluru","Organic"
"CUST001758","13-12-2024","Kolkata","Social"
"CUST001760","03-12-2024","Bengaluru","Organic"
"CUST001764","25-12-2024","Kolkata","Paid"
"CUST001780","27-12-2024","Hyderabad","Organic"
"CUST001781","16-12-2024","Mumbai","Organic"
"CUST001784","26-11-2024","Pune","Organic"
"CUST001801","11-12-2024","Bengaluru","Referral"
"CUST001804","04-12-2024","Mumbai","Organic"
"CUST001806","09-12-2024","Bengaluru","Organic"
"CUST001809","15-12-2024","Bengaluru","Social"
"CUST001823","20-12-2024","Hyderabad","Organic"
"CUST001826","30-12-2024","Pune","Organic"
"CUST001833","14-12-2024","Bengaluru","Paid"
"CUST001842","30-12-2024","Pune","Paid"
"CUST001854","17-12-2024","Bengaluru","Referral"
"CUST001861","31-12-2024","Ahmedabad","Organic"
"CUST001872","21-11-2024","Mumbai","Organic"
"CUST001909","05-12-2024","Delhi","Referral"
"CUST001946","12-12-2024","Chennai","Paid"
"CUST001954","15-12-2024","Kolkata","Organic"
"CUST001964","02-11-2024","Kolkata","Organic"
"CUST001965","18-12-2024","Pune","Organic"
"CUST001982","20-11-2024","Chennai","Organic"
"CUST001987","27-11-2024","Mumbai","Organic"
"CUST001991","29-11-2024","Delhi","Organic"
"CUST001993","31-12-2024","Hyderabad","Paid"
"CUST001999","01-12-2024","Mumbai","Organic"
"CUST002004","27-12-2024","Bengaluru","Paid"
"CUST002006","05-12-2024","Bengaluru","Paid"
"CUST002009","10-12-2024","Mumbai","Organic"
"CUST002022","25-12-2024","Ahmedabad","Organic"
"CUST002030","28-12-2024","Pune","Social"
"CUST002037","22-12-2024","Bengaluru","Organic"
"CUST002067","22-12-2024","Mumbai","Paid"
"CUST002073","20-12-2024","Ahmedabad","Paid"
"CUST002074","15-12-2024","Bengaluru","Paid"
"CUST002078","29-12-2024","Pune","Organic"
"CUST002081","30-12-2024","Chennai","Organic"
"CUST002084","31-12-2024","Kolkata","Organic"
"CUST002085","25-11-2024","Mumbai","Paid"
"CUST002093","07-12-2024","Mumbai","Organic"
"CUST002107","25-12-2024","Delhi","Paid"
"CUST002140","05-12-2024","Delhi","Organic"
"CUST002143","24-12-2024","Mumbai","Organic"
"CUST002162","29-12-2024","Bengaluru","Paid"
"CUST002163","03-12-2024","Bengaluru","Referral"
"CUST002178","15-12-2024","Mumbai","Organic"
"CUST002185","25-11-2024","Mumbai","Paid"
"CUST002223","10-12-2024","Bengaluru","Referral"
"CUST002224","17-12-2024","Hyderabad","Organic"
"CUST002227","03-12-2024","Bengaluru","Organic"
"CUST002235","22-12-2024","Kolkata","Referral"
"CUST002241","21-12-2024","Kolkata","Organic"
"CUST002242","01-12-2024","Hyderabad","Organic"
"CUST002250","22-12-2024","Hyderabad","Organic"
"CUST002265","27-11-2024","Mumbai","Social"
"CUST002277","28-11-2024","Delhi","Referral"
"CUST002281","23-12-2024","Delhi","Referral"
"CUST002283","26-12-2024","Mumbai","Referral"
"CUST002292","27-12-2024","Bengaluru","Social"
"CUST002301","16-11-2024","Kolkata","Organic"
"CUST002328","26-11-2024","Chennai","Paid"
"CUST002344","13-11-2024","Bengaluru","Organic"
"CUST002348","22-11-2024","Bengaluru","Paid"
"CUST002350","23-12-2024","Mumbai","Organic"
"CUST002357","09-11-2024","Kolkata","Organic"
"CUST002370","27-12-2024","Delhi","Organic"
"CUST002373","25-12-2024","Delhi","Paid"
"CUST002380","22-12-2024","Ahmedabad","Organic"
"CUST002381","07-12-2024","Bengaluru","Organic"
"CUST002384","30-12-2024","Bengaluru","Organic"
"CUST002385","29-11-2024","Ahmedabad","Organic"
"CUST002397","15-12-2024","Bengaluru","Organic"
"CUST002398","17-12-2024","Ahmedabad","Organic"
"CUST002403","07-12-2024","Mumbai","Organic"
"CUST002408","22-11-2024","Mumbai","Referral"
"CUST002411","28-12-2024","Hyderabad","Organic"
"CUST002413","24-12-2024","Hyderabad","Organic"
"CUST002414","10-12-2024","Hyderabad","Referral"
"CUST002427","20-12-2024","Bengaluru","Social"
"CUST002440","29-11-2024","Kolkata","Referral"
"CUST002449","30-12-2024","Bengaluru","Organic"
"CUST002451","14-12-2024","Bengaluru","Organic"
"CUST002496","13-12-2024","Chennai","Referral"
"CUST002504","04-12-2024","Chennai","Paid"
"CUST002514","16-12-2024","Hyderabad","Referral"
"CUST002516","25-11-2024","Bengaluru","Organic"
"CUST002532","22-12-2024","Hyderabad","Organic"
"CUST002533","25-12-2024","Hyderabad","Referral"
"CUST002541","09-12-2024","Delhi","Organic"
"CUST002543","29-12-2024","Bengaluru","Referral"
"CUST002550","29-11-2024","Ahmedabad","Paid"
"CUST002551","31-12-2024","Delhi","Paid"
"CUST002554","22-12-2024","Mumbai","Organic"
"CUST002561","05-12-2024","Pune","Referral"
"CUST002567","12-11-2024","Bengaluru","Organic"
"CUST002586","10-12-2024","Ahmedabad","Organic"
"CUST002597","27-12-2024","Delhi","Organic"
"CUST002598","20-12-2024","Pune","Organic"
"CUST002608","20-12-2024","Delhi","Paid"
"CUST002610","01-12-2024","Kolkata","Organic"
"CUST002631","06-12-2024","Delhi","Organic"
"CUST002653","28-11-2024","Ahmedabad","Organic"
"CUST002654","20-12-2024","Pune","Organic"
"CUST002656","30-11-2024","Mumbai","Organic"
"CUST002666","23-12-2024","Bengaluru","Organic"
"CUST002668","01-12-2024","Chennai","Organic"
"CUST002679","03-12-2024","Mumbai","Organic"
"CUST002689","10-12-2024","Chennai","Organic"
"CUST002716","29-12-2024","Bengaluru","Organic"
"CUST002736","09-12-2024","Bengaluru","Organic"
"CUST002737","21-12-2024","Bengaluru","Organic"
"CUST002743","13-12-2024","Bengaluru","Organic"
"CUST002745","14-12-2024","Hyderabad","Paid"
"CUST002755","25-11-2024","Mumbai","Organic"
"CUST002762","31-12-2024","Bengaluru","Paid"
"CUST002778","08-12-2024","Delhi","Paid"
"CUST002779","28-12-2024","Bengaluru","Paid"
"CUST002783","08-12-2024","Kolkata","Social"
"CUST002785","31-12-2024","Mumbai","Organic"
"CUST002789","23-12-2024","Bengaluru","Referral"
"CUST002793","13-12-2024","Bengaluru","Paid"
"CUST002796","20-12-2024","Bengaluru","Referral"
"CUST002823","20-11-2024","Mumbai","Paid"
"CUST002831","01-12-2024","Chennai","Organic"
"CUST002833","21-12-2024","Delhi","Organic"
"CUST002841","22-12-2024","Bengaluru","Social"
"CUST002845","09-11-2024","Bengaluru","Paid"
"CUST002848","24-12-2024","Hyderabad","Organic"
"CUST002865","26-12-2024","Bengaluru","Organic"
"CUST002886","19-12-2024","Pune","Paid"
"CUST002896","12-12-2024","Delhi","Paid"
"CUST002901","16-12-2024","Bengaluru","Organic"
"CUST002902","31-12-2024","Bengaluru","Organic"
"CUST002908","26-11-2024","Ahmedabad","Organic"
"CUST002913","18-12-2024","Pune","Organic"
"CUST002916","23-12-2024","Delhi","Organic"
"CUST002925","28-11-2024","Delhi","Paid"
"CUST002928","08-12-2024","Hyderabad","Organic"
"CUST002937","20-12-2024","Bengaluru","Referral"
"CUST002943","04-12-2024","Chennai","Social"
"CUST002946","04-12-2024","Bengaluru","Referral"
"CUST002952","12-12-2024","Mumbai","Referral"
"CUST002954","08-12-2024","Chennai","Organic"
"CUST002956","05-12-2024","Bengaluru","Paid"
"CUST002968","31-12-2024","Mumbai","Referral"
"CUST002986","03-12-2024","Ahmedabad","Referral"
"CUST002989","02-12-2024","Chennai","Organic"
"CUST002997","13-11-2024","Ahmedabad","Organic"
"CUST003005","23-12-2024","Hyderabad","Organic"
"CUST003015","28-12-2024","Chennai","Organic"
"CUST003019","27-12-2024","Bengaluru","Paid"
"CUST003029","09-12-2024","Delhi","Referral"
"CUST003030","19-11-2024","Ahmedabad","Social"
"CUST003035","07-12-2024","Mumbai","Organic"
"CUST003036","06-11-2024","Pune","Paid"
"CUST003055","11-12-2024","Hyderabad","Social"
"CUST003062","21-12-2024","Delhi","Organic"
"CUST003064","22-11-2024","Chennai","Organic"
"CUST003067","25-12-2024","Mumbai","Organic"
"CUST003069","15-12-2024","Mumbai","Paid"
"CUST003071","11-11-2024","Hyderabad","Referral"
"CUST003073","15-12-2024","Delhi","Paid"
"CUST003077","27-12-2024","Hyderabad","Organic"
"CUST003094","20-12-2024","Kolkata","Organic"
"CUST003098","15-11-2024","Bengaluru","Organic"
"CUST003099","22-11-2024","Chennai","Referral"
"CUST003105","30-12-2024","Hyderabad","Referral"
"CUST003119","02-11-2024","Bengaluru","Paid"
"CUST003125","17-12-2024","Hyderabad","Paid"
"CUST003128","09-12-2024","Pune","Organic"
"CUST003139","27-11-2024","Mumbai","Organic"
"CUST003146","18-12-2024","Kolkata","Organic"
"CUST003151","22-11-2024","Kolkata","Referral"
"CUST003162","29-12-2024","Hyderabad","Paid"
"CUST003168","14-12-2024","Delhi","Organic"
"CUST003182","17-11-2024","Bengaluru","Referral"
"CUST003183","22-12-2024","Kolkata","Organic"
"CUST003186","20-11-2024","Mumbai","Paid"
"CUST003191","30-12-2024","Bengaluru","Paid"
"CUST003207","08-12-2024","Bengaluru","Organic"
"CUST003209","02-12-2024","Bengaluru","Organic"
"CUST003210","22-12-2024","Delhi","Organic"
"CUST003216","08-12-2024","Bengaluru","Organic"
"CUST003217","30-12-2024","Ahmedabad","Referral"
"CUST003227","29-12-2024","Bengaluru","Organic"
"CUST003229","07-12-2024","Kolkata","Organic"
"CUST003236","05-12-2024","Mumbai","Paid"
"CUST003239","11-12-2024","Delhi","Organic"
"CUST003242","26-11-2024","Pune","Organic"
"CUST003243","19-11-2024","Hyderabad","Paid"
"CUST003248","23-11-2024","Ahmedabad","Social"
"CUST003269","30-11-2024","Delhi","Referral"
"CUST003270","12-11-2024","Mumbai","Organic"
"CUST003275","28-11-2024","Bengaluru","Organic"
"CUST003286","27-11-2024","Mumbai","Organic"
"CUST003290","30-12-2024","Bengaluru","Organic"
"CUST003295","12-12-2024","Chennai","Social"
"CUST003303","28-12-2024","Pune","Organic"
"CUST003306","27-12-2024","Mumbai","Organic"
"CUST003313","14-12-2024","Kolkata","Paid"
"CUST003334","21-12-2024","Ahmedabad","Organic"
"CUST003344","27-11-2024","Pune","Social"
"CUST003353","22-12-2024","Delhi","Organic"
"CUST003375","19-12-2024","Kolkata","Social"
"CUST003383","21-11-2024","Mumbai","Organic"
"CUST003390","21-12-2024","Mumbai","Organic"
"CUST003400","17-12-2024","Bengaluru","Referral"
"CUST003401","02-12-2024","Delhi","Paid"
"CUST003409","09-12-2024","Mumbai","Organic"
"CUST003412","13-11-2024","Hyderabad","Organic"
"CUST003439","12-12-2024","Bengaluru","Organic"
"CUST003440","23-12-2024","Chennai","Organic"
"CUST003441","13-12-2024","Mumbai","Organic"
"CUST003444","19-12-2024","Chennai","Paid"
"CUST003467","30-11-2024","Pune","Organic"
"CUST003473","22-11-2024","Chennai","Referral"
"CUST003482","30-11-2024","Bengaluru","Referral"
"CUST003496","25-11-2024","Delhi","Organic"
"CUST003506","30-12-2024","Bengaluru","Organic"
"CUST003533","31-12-2024","Mumbai","Social"
"CUST003570","19-11-2024","Bengaluru","Social"
"CUST003587","09-12-2024","Mumbai","Referral"
"CUST003591","24-12-2024","Delhi","Organic"
"CUST003616","16-12-2024","Chennai","Organic"
"CUST003628","29-12-2024","Bengaluru","Organic"
"CUST003630","22-12-2024","Delhi","Organic"
"CUST003631","26-11-2024","Delhi","Referral"
"CUST003637","19-11-2024","Bengaluru","Organic"
"CUST003642","09-12-2024","Bengaluru","Organic"
"CUST003644","14-12-2024","Bengaluru","Organic"
"CUST003646","05-12-2024","Mumbai","Organic"
"CUST003659","24-12-2024","Chennai","Referral"
"CUST003669","10-12-2024","Delhi","Organic"
"CUST003677","12-12-2024","Kolkata","Organic"
"CUST003678","08-11-2024","Ahmedabad","Paid"
"CUST003680","11-12-2024","Bengaluru","Referral"
"CUST003687","31-12-2024","Bengaluru","Organic"
"CUST003701","28-11-2024","Kolkata","Paid"
"CUST003716","02-12-2024","Pune","Organic"
"CUST003764","17-12-2024","Ahmedabad","Paid"
"CUST003769","16-12-2024","Bengaluru","Organic"
"CUST003770","26-12-2024","Delhi","Organic"
"CUST003776","27-12-2024","Mumbai","Paid"
"CUST003777","17-11-2024","Bengaluru","Referral"
"CUST003781","16-12-2024","Hyderabad","Paid"
"CUST003790","02-12-2024","Bengaluru","Organic"
"CUST003794","12-12-2024","Chennai","Paid"
"CUST003816","14-11-2024","Ahmedabad","Referral"
"CUST003828","17-12-2024","Bengaluru","Social"
"CUST003834","29-12-2024","Hyderabad","Paid"
"CUST003841","31-12-2024","Chennai","Paid"
"CUST003855","07-12-2024","Bengaluru","Organic"
"CUST003874","26-12-2024","Ahmedabad","Organic"
"CUST003880","08-12-2024","Delhi","Organic"
"CUST003881","01-12-2024","Bengaluru","Organic"
"CUST003884","20-12-2024","Bengaluru","Organic"
"CUST003887","18-12-2024","Bengaluru","Paid"
"CUST003908","19-12-2024","Pune","Organic"
"CUST003920","01-12-2024","Pune","Organic"
"CUST003935","05-12-2024","Bengaluru","Referral"
"CUST003937","24-12-2024","Kolkata","Paid"
"CUST003941","07-12-2024","Bengaluru","Referral"
"CUST003944","12-12-2024","Pune","Social"
"CUST003960","31-12-2024","Mumbai","Organic"
"CUST003961","18-11-2024","Delhi","Organic"
"CUST003969","13-11-2024","Bengaluru","Organic"
"CUST003981","20-11-2024","Pune","Paid"
"CUST003996","20-12-2024","Hyderabad","Paid"
"CUST004005","15-12-2024","Chennai","Organic"
"CUST004006","04-12-2024","Delhi","Referral"
"CUST004019","01-12-2024","Delhi","Paid"
"CUST004023","15-11-2024","Delhi","Paid"
"CUST004028","19-11-2024","Ahmedabad","Paid"
"CUST004076","02-12-2024","Pune","Social"
"CUST004078","16-11-2024","Mumbai","Organic"
"CUST004085","23-11-2024","Bengaluru","Organic"
"CUST004100","22-11-2024","Chennai","Referral"
"CUST004107","10-12-2024","Mumbai","Organic"
"CUST004109","04-12-2024","Chennai","Organic"
"CUST004120","21-12-2024","Mumbai","Referral"
"CUST004152","03-12-2024","Bengaluru","Organic"
"CUST004169","04-12-2024","Hyderabad","Paid"
"CUST004173","20-12-2024","Delhi","Social"
"CUST004202","10-12-2024","Delhi","Organic"
"CUST004210","21-11-2024","Bengaluru","Paid"
"CUST004216","15-12-2024","Hyderabad","Referral"
"CUST004238","23-11-2024","Bengaluru","Organic"
"CUST004250","14-12-2024","Bengaluru","Organic"
"CUST004261","28-11-2024","Delhi","Organic"
"CUST004264","20-11-2024","Delhi","Referral"
"CUST004273","13-12-2024","Delhi","Organic"
"CUST004275","28-12-2024","Mumbai","Paid"
"CUST004279","15-12-2024","Chennai","Organic"
"CUST004284","10-12-2024","Mumbai","Organic"
"CUST004320","27-12-2024","Bengaluru","Organic"
"CUST004323","12-11-2024","Delhi","Organic"
"CUST004339","03-12-2024","Bengaluru","Organic"
"CUST004343","30-12-2024","Bengaluru","Social"
"CUST004345","31-12-2024","Kolkata","Organic"
"CUST004354","16-12-2024","Pune","Organic"
"CUST004371","30-12-2024","Mumbai","Organic"
"CUST004387","26-12-2024","Chennai","Referral"
"CUST004417","16-12-2024","Delhi","Organic"
"CUST004425","23-11-2024","Bengaluru","Social"
"CUST004426","08-12-2024","Bengaluru","Organic"
"CUST004438","24-11-2024","Bengaluru","Paid"
"CUST004445","31-12-2024","Pune","Organic"
"CUST004455","21-11-2024","Hyderabad","Organic"
"CUST004457","26-12-2024","Bengaluru","Organic"
"CUST004492","04-12-2024","Bengaluru","Referral"
"CUST004497","25-12-2024","Ahmedabad","Referral"
"CUST004507","26-11-2024","Kolkata","Paid"
"CUST004514","15-12-2024","Delhi","Organic"
"CUST004544","15-12-2024","Kolkata","Organic"
"CUST004545","15-12-2024","Chennai","Organic"
"CUST004550","31-12-2024","Bengaluru","Social"
"CUST004552","01-12-2024","Bengaluru","Organic"
"CUST004553","02-12-2024","Pune","Paid"
"CUST004560","29-12-2024","Chennai","Organic"
"CUST004566","10-12-2024","Mumbai","Paid"
"CUST004567","10-12-2024","Mumbai","Social"
"CUST004582","23-11-2024","Pune","Referral"
"CUST004603","12-12-2024","Delhi","Organic"
"CUST004615","04-12-2024","Bengaluru","Paid"
"CUST004616","10-12-2024","Kolkata","Organic"
"CUST004622","28-12-2024","Bengaluru","Organic"
"CUST004624","10-12-2024","Bengaluru","Paid"
"CUST004634","20-12-2024","Mumbai","Paid"
"CUST004640","31-12-2024","Mumbai","Paid"
"CUST004642","08-12-2024","Chennai","Organic"
"CUST004661","24-12-2024","Bengaluru","Paid"
"CUST004670","13-12-2024","Mumbai","Organic"
"CUST004691","01-12-2024","Pune","Organic"
"CUST004694","22-11-2024","Delhi","Referral"
"CUST004701","05-12-2024","Chennai","Paid"
"CUST004706","12-12-2024","Hyderabad","Organic"
"CUST004720","03-12-2024","Mumbai","Referral"
"CUST004740","14-11-2024","Bengaluru","Social"
"CUST004754","23-12-2024","Pune","Organic"
"CUST004756","09-12-2024","Ahmedabad","Organic"
"CUST004770","30-12-2024","Bengaluru","Social"
"CUST004783","22-12-2024","Hyderabad","Organic"
"CUST004811","31-12-2024","Hyderabad","Social"
"CUST004813","31-12-2024","Mumbai","Organic"
"CUST004818","02-12-2024","Mumbai","Organic"
"CUST004820","01-12-2024","Pune","Organic"
"CUST004836","13-12-2024","Pune","Referral"
"CUST004843","15-11-2024","Bengaluru","Organic"
"CUST004884","21-12-2024","Chennai","Referral"
"CUST004894","13-12-2024","Bengaluru","Organic"
"CUST004898","31-12-2024","Delhi","Organic"
"CUST004901","27-11-2024","Delhi","Paid"
"CUST004902","24-11-2024","Delhi","Organic"
"CUST004905","12-12-2024","Mumbai","Organic"
"CUST004909","10-11-2024","Mumbai","Social"
"CUST004916","21-12-2024","Ahmedabad","Social"
"CUST004919","27-12-2024","Bengaluru","Referral"
"CUST004925","26-11-2024","Bengaluru","Paid"
"CUST004927","05-12-2024","Mumbai","Paid"
"CUST004928","06-12-2024","Pune","Organic"
"CUST004934","02-12-2024","Hyderabad","Paid"
"CUST004942","23-12-2024","Bengaluru","Social"
"CUST004960","13-12-2024","Chennai","Social"
"CUST004961","12-11-2024","Delhi","Organic"
"CUST004974","04-12-2024","Hyderabad","Referral"
"CUST004979","11-12-2024","Bengaluru","Referral"
"CUST004980","08-11-2024","Pune","Organic"
"CUST004986","09-12-2024","Bengaluru","Organic"
"CUST005019","07-12-2024","Delhi","Organic"
"CUST005029","17-12-2024","Bengaluru","Organic"
